English,n_languages_present,transferability,divergence,consistency,sim_English_to_Spanish,sim_English_to_French,sim_English_to_German,sim_English_to_Chinese,sim_English_to_Japanese
your guess is as good as mine,5,0.3832335084524773,0.01888609238620538,0.8300849657995564,0.40027531280217515,0.37848783576014416,0.40381138886970847,0.3827131356317093,0.3508798691986495
take a rain check,5,0.4202038405199534,0.04942792335209884,0.5736157133336564,0.464244829133838,0.41893052497813643,0.42454843459031893,0.46427059386086605,0.3290248200366078
wrap your head around it,5,0.42818573587187486,0.0605796164705978,0.8673875460559268,0.49461035774586115,0.49952246624946134,0.39934894011617683,0.40600696636438977,0.34143994888348506
once in a blue moon,5,0.4506259041894783,0.07951083857517115,0.5926385346596643,0.4587864235572164,0.45805522962646245,0.5760399441510871,0.4340607262751997,0.32618719733742574
hit the sack,5,0.460659690273632,0.04391881231068543,0.8780897217234676,0.4823600671806527,0.4981778311788867,0.47595953307814004,0.4721612261959501,0.37463979373453044
zero in on,5,0.4768717901196756,0.0571860310219385,0.7719850085945021,0.5594164989586088,0.4957040264586132,0.48852722672691234,0.45681735843364046,0.3838938400206035
ring a bell,5,0.47702367179195704,0.05666127307782745,0.555522791683333,0.4424659826639867,0.5615749225782152,0.5130185442242808,0.47088535798153003,0.3971735515117723
play it by ear,5,0.4790278175263202,0.04275761523125036,0.5953020851182131,0.502033966428554,0.49765843376367397,0.5323982270153385,0.45277397524745533,0.4102744851765791
bend over backwards,5,0.48096380921410375,0.08679873626947993,0.6601593154743992,0.47033532303301084,0.6211187254472108,0.5210695300152808,0.4271133250507217,0.3651821425242945
under the weather,5,0.48408719282283963,0.049058294980656315,0.584920562577215,0.5365513224137158,0.5236782999059513,0.5014127667793192,0.45614921261487607,0.40264436240033546
go down in flames,5,0.48745746547251734,0.05767523149645595,0.7939168331980939,0.5420467453846944,0.5229184931122126,0.5291363729771272,0.45306715934859143,0.39011855653996097
by the book,5,0.4952759610513312,0.0344548342489477,0.7540092310402333,0.49996038219553135,0.5359452157734822,0.5221118389410161,0.43757197598972875,0.4807903923568978
let sleeping dogs lie,5,0.49851632726156553,0.12498518825168814,0.4755121980565374,0.4142949680140344,0.47405608830246454,0.7448141444941065,0.41780823612879414,0.44160819936842804
face the music,5,0.5000375530998591,0.05539711235992261,0.7191114741966265,0.5002496669110503,0.5608967282813824,0.5618645755386018,0.4501152771235199,0.42706151764474104
cost an arm and a leg,5,0.508526413148341,0.14894721097047542,0.44955534453697615,0.6813034055682238,0.6372427473714578,0.2734043165257082,0.534592819481266,0.41608877679504924
see eye to eye,5,0.5097287385492844,0.04085632297514035,0.7387175134225792,0.5362625746605086,0.5507203502558398,0.5414646486756297,0.46385720603375097,0.4563389131206928
the ballpark figure,5,0.5126229282073731,0.03876863976176204,0.7245706491337333,0.5194430054333151,0.5184629334775133,0.5760960227503722,0.4904851496883749,0.45862752968729004
miss the mark,5,0.5180542737218032,0.07408508838028599,0.690029363799428,0.5529166374830996,0.613816344831358,0.5556505096083317,0.4066065194498577,0.4612813572363689
water under the bridge,5,0.5190656548506555,0.09885273761810445,0.5783468803176691,0.6674362619436889,0.5806438352185258,0.47970288616318224,0.49274037760266,0.37480491332522037
every cloud has a silver lining,5,0.5191823071521661,0.09757867545722101,0.5822396797753105,0.3913053948954069,0.5628456477242324,0.673966465168023,0.4458131714713304,0.5219808565018378
