English,n_languages_present,transferability,divergence,consistency,sim_English_to_Spanish,sim_English_to_French,sim_English_to_German,sim_English_to_Chinese,sim_English_to_Japanese
calm before the storm,5,0.8834061420937521,0.08083512744127792,0.836624932451801,0.9644095742667006,0.9729585905719984,0.8968237852209074,0.8136368307468038,0.7692019296623506
curiosity killed the cat,5,0.8352530063907393,0.0890271132061418,0.8034547097979822,0.9467820960475407,0.9050577342642576,0.8182723406536135,0.6877948316516247,0.8183580293366594
better late than never,5,0.8268874252068252,0.12205166972777512,0.7537381263845161,0.9008231268675612,0.9192165621970527,0.9434400962716053,0.6266803035943325,0.7442770371035748
the tip of the iceberg,5,0.815847787865019,0.0733612750936191,0.8208292510707317,0.9045478771681258,0.8431632339623916,0.8731122190920976,0.7279125289153059,0.7305030801871741
your time is up,5,0.79991047702308,0.04091620171561124,0.855280110731452,0.8309342180294041,0.8333939026903808,0.8355107312311555,0.7477425816038866,0.7519709515605735
pay the price,5,0.7899246395516607,0.11665909113427492,0.7344563344363145,0.6962885150797224,0.9375235517501739,0.9236360685718226,0.6644331241651908,0.7277419381913933
time flies,5,0.7847373606241937,0.11255739279567413,0.7172406496284673,0.949214054058574,0.8567126307895985,0.7929980820313276,0.6858589071495038,0.6389031290919654
add fuel to the fire,5,0.7830924089294944,0.05049748629842544,0.8343701915073186,0.8208282267629063,0.808153432152897,0.833947910875287,0.6975153751229632,0.7550170997334186
break the ice,5,0.7798171761754482,0.15438296078627883,0.6971232274383341,0.9232821487546271,0.9056847415588161,0.8762121918259005,0.6542915618564333,0.5396152368814646
read between the lines,5,0.7756834252840447,0.17462646567254791,0.6580764061026912,0.9472802426005782,0.9402619653143811,0.8040262167803001,0.4736320414955254,0.7132166602294384
no pain no gain,5,0.7743491147124159,0.099702464954374,0.6927466541520546,0.8757890352945126,0.9065742878121529,0.741061814512092,0.6934692739564515,0.6548511619868702
to make matters worse,5,0.7455794429568185,0.10979225636412632,0.684935003502692,0.6472939307584507,0.8945078188712302,0.8642274118192808,0.6644668169444317,0.6574012363906993
under your nose,5,0.7412640726801125,0.13225246910252111,0.7117629000121302,0.7958125529120141,0.9438199807004091,0.7750258082860865,0.593863835903296,0.5977981855987571
cry over spilled milk,5,0.7377985307568189,0.15905783902447485,0.6342283802350839,0.8863433080012068,0.9000659332556502,0.8084437165688276,0.5337447425613209,0.5603949533970886
keep an eye on,5,0.7320496856210277,0.07262929672150556,0.6678313570758371,0.6831324761645362,0.848915149386564,0.7654545649786669,0.726498105725254,0.6362481318501166
the ball is in your court,5,0.7210463289863724,0.14350671113818084,0.6630554162006301,0.8638299214085854,0.8487000742928117,0.7874617551951787,0.6033266853671112,0.5019132086681758
kill two birds with one stone,5,0.7110968581065975,0.11052980396302002,0.68787029643654,0.810564926553038,0.7511345160838213,0.7793148186992378,0.49916322849654815,0.7153068007003425
piece of cake,5,0.7108617424943169,0.09040319288133093,0.6404055140545248,0.6887422455360772,0.8810275668558861,0.661930247276628,0.7066465820000275,0.6159620708029655
turn a blind eye,5,0.7072158277791258,0.09096975610737759,0.6233788966853251,0.7460353959836076,0.7559904450371425,0.8302376189404447,0.6113326620594226,0.5924830168750119
take the bull by the horns,5,0.7063792367588155,0.20254617411922923,0.5977395460058175,0.883587614216388,0.8968187491346845,0.8319462983111572,0.4544254887920987,0.46511803333974944
