English,n_languages_present,transferability,divergence,consistency,sim_English_to_Spanish,sim_English_to_French,sim_English_to_German,sim_English_to_Chinese,sim_English_to_Japanese
add fuel to the fire,5,0.7830924089294944,0.05049748629842544,0.8343701915073186,0.8208282267629063,0.808153432152897,0.833947910875287,0.6975153751229632,0.7550170997334186
back to square one,5,0.6569142010613639,0.047370973826611824,0.7458527625937306,0.6901346487337463,0.7174335214910436,0.6730607838197247,0.6107926561522462,0.5931493951100586
beat around the bush,5,0.6175816848022371,0.10255521748889722,0.6172323502030101,0.6457581204847346,0.7833189377914878,0.6408882817491425,0.5187078377826851,0.4992352462031352
better late than never,5,0.8268874252068252,0.12205166972777512,0.7537381263845161,0.9008231268675612,0.9192165621970527,0.9434400962716053,0.6266803035943325,0.7442770371035748
bite off more than you can chew,5,0.6304381493513076,0.13994925064739486,0.5804826811895404,0.7821161519056211,0.8096291668840547,0.5689240095012097,0.5328640204416482,0.4586573980240041
by the book,5,0.4952759610513312,0.0344548342489477,0.7540092310402333,0.49996038219553135,0.5359452157734822,0.5221118389410161,0.43757197598972875,0.4807903923568978
calm before the storm,5,0.8834061420937521,0.08083512744127792,0.836624932451801,0.9644095742667006,0.9729585905719984,0.8968237852209074,0.8136368307468038,0.7692019296623506
cry over spilled milk,5,0.7377985307568189,0.15905783902447485,0.6342283802350839,0.8863433080012068,0.9000659332556502,0.8084437165688276,0.5337447425613209,0.5603949533970886
curiosity killed the cat,5,0.8352530063907393,0.0890271132061418,0.8034547097979822,0.9467820960475407,0.9050577342642576,0.8182723406536135,0.6877948316516247,0.8183580293366594
cut to the chase,5,0.5359008668076986,0.08119820993395953,0.5979281578074628,0.6230103864147655,0.6066227352687272,0.5703678341757693,0.4584438640075456,0.42105951417168486
easy does it,5,0.606071428356212,0.031474838498910154,0.7892305753837261,0.5961546679564758,0.6459350236046656,0.5622303206196617,0.637991658246831,0.5880454713534258
every cloud has a silver lining,5,0.5191823071521661,0.09757867545722101,0.5822396797753105,0.3913053948954069,0.5628456477242324,0.673966465168023,0.4458131714713304,0.5219808565018378
face the music,5,0.5000375530998591,0.05539711235992261,0.7191114741966265,0.5002496669110503,0.5608967282813824,0.5618645755386018,0.4501152771235199,0.42706151764474104
fall through the cracks,5,0.6040176790075515,0.1349357363344367,0.588906436917962,0.571013079944123,0.7147002068900941,0.8013731226180667,0.4880357329242642,0.44496625266120965
feel under the weather,5,0.5469441920463793,0.06562240200461758,0.7721942792150422,0.6194880626309434,0.5534117883618004,0.6109882292862732,0.5061815007146104,0.44465137923826953
get cold feet,5,0.6080155304041648,0.16965160301693377,0.5323903579638389,0.5316222189609797,0.6917726524047474,0.9011259478676933,0.45849981571824594,0.4570570170691578
get your act together,5,0.6069260024473678,0.07423572838034598,0.6631100677103303,0.5159142938330099,0.6504374059364698,0.7145273248731207,0.6215646019458513,0.5321863856483872
give someone the cold shoulder,5,0.6005580052876265,0.123509903392256,0.5413783454170561,0.5467067667346749,0.5474118114024927,0.8465650050099851,0.5174934732890133,0.5446129700019665
go the extra mile,5,0.5572531258295877,0.10221429914365975,0.6859299531717807,0.6165957940611317,0.5442659235043017,0.7203492707053111,0.4551016113278061,0.449953029549388
hang in there,5,0.6708632251056963,0.07682785411365681,0.7522709033632777,0.7186300352571754,0.6465680033551032,0.7906873520942717,0.6309645205770399,0.5674662142448911
hit the books,5,0.5460494938660467,0.040344448812005086,0.7835649799167184,0.571374286437382,0.5534729619190605,0.5898890334255391,0.5437220292085618,0.47178915833969
in hot water,5,0.5705079972057128,0.018750454002585813,0.7719348925884666,0.5563896897599223,0.5861618992854691,0.592216590051708,0.5757991710669966,0.5419726358644674
jump on the bandwagon,5,0.6162243403191008,0.0542210346143824,0.6173336533391416,0.6398600192975553,0.5733371246372756,0.7120339586528762,0.5681577695082674,0.5877328294995297
keep an eye on,5,0.7320496856210277,0.07262929672150556,0.6678313570758371,0.6831324761645362,0.848915149386564,0.7654545649786669,0.726498105725254,0.6362481318501166
kill two birds with one stone,5,0.7110968581065975,0.11052980396302002,0.68787029643654,0.810564926553038,0.7511345160838213,0.7793148186992378,0.49916322849654815,0.7153068007003425
leave no stone unturned,5,0.541199890265218,0.08488189952103296,0.5919671661841652,0.6964551117516724,0.5359932521399488,0.531253473612274,0.5026142775870004,0.43968333623519407
let sleeping dogs lie,5,0.49851632726156553,0.12498518825168814,0.4755121980565374,0.4142949680140344,0.47405608830246454,0.7448141444941065,0.41780823612879414,0.44160819936842804
make a long story short,5,0.5848806632296458,0.07987387533256085,0.7105224985014439,0.5158075757630504,0.5361464801730771,0.5351698249353285,0.7328687685345026,0.6044106667422707
make ends meet,5,0.5235417332073942,0.08393786786465958,0.42734160874880106,0.6247502119144458,0.6261710346677367,0.45643744355772586,0.43784164978295353,0.47250832611410876
miss the mark,5,0.5180542737218032,0.07408508838028599,0.690029363799428,0.5529166374830996,0.613816344831358,0.5556505096083317,0.4066065194498577,0.4612813572363689
no pain no gain,5,0.7743491147124159,0.099702464954374,0.6927466541520546,0.8757890352945126,0.9065742878121529,0.741061814512092,0.6934692739564515,0.6548511619868702
on the same page,5,0.6420619860841588,0.09464435958413533,0.5915868809453797,0.5723903337702594,0.5811880996630362,0.8202054665390666,0.6592515695090527,0.5772744609393793
on thin ice,5,0.6539663930784709,0.127919180476411,0.607374626126401,0.572169927353139,0.708369925870768,0.7874340165712038,0.7570166049162208,0.44484149068102313
out of the blue,5,0.5806122300823551,0.08752529597186172,0.6592111603944766,0.6320729516701171,0.6284105420670414,0.6890656059483288,0.4810072267114583,0.47250482401482946
pay the price,5,0.7899246395516607,0.11665909113427492,0.7344563344363145,0.6962885150797224,0.9375235517501739,0.9236360685718226,0.6644331241651908,0.7277419381913933
play it by ear,5,0.4790278175263202,0.04275761523125036,0.5953020851182131,0.502033966428554,0.49765843376367397,0.5323982270153385,0.45277397524745533,0.4102744851765791
put all your eggs in one basket,5,0.5981727946296816,0.1491651930777954,0.5498561785197221,0.529053598692353,0.8486014086576428,0.6770268099680469,0.5110960681891394,0.4250860876412263
pull yourself together,5,0.6782980898632169,0.12111359271289154,0.6913235989983673,0.6562451241346251,0.7605991698267213,0.8658694447647005,0.5641978613334074,0.5445788492566302
rain cats and dogs,5,0.5835752108992402,0.10104801924780142,0.6354148220533598,0.6152340009135017,0.6383142527600318,0.3878265729134738,0.6753891425246787,0.6011120853845154
read between the lines,5,0.7756834252840447,0.17462646567254791,0.6580764061026912,0.9472802426005782,0.9402619653143811,0.8040262167803001,0.4736320414955254,0.7132166602294384
