src,dst,distance,similarity,plot_weight
aka,twi,0.029915393757100686,1.0,8.999999999938009
sot,xho,0.04169663202235404,0.9984279141092094,8.902543458561524
ssw,zul,0.04638371924155119,0.9978024702025245,8.863771022317696
ewe,fon,0.07429841931932515,0.9940775386503506,8.632855556397166
kin,run,0.11377388757109354,0.9888099406887688,8.306307317713205
nso,zul,0.12118809700428437,0.9878205901825777,8.244975631507454
tso,zul,0.12251380499644861,0.9876436879942961,8.234009134363216
kam,kik,0.12282603722810258,0.9876020237927087,8.231426292668806
fon,yor,0.13512022578521704,0.9859614899257074,8.12972653337097
aka,ewe,0.14489213267663872,0.984657528779668,8.048891545838313
fon,kbp,0.1461296412909268,0.9844923958973298,8.038654649957193
nso,ssw,0.14895313458162893,0.984115629562152,8.015298200956142
kbp,mos,0.1506402169459151,0.9838905056556678,8.001342349411619
lug,run,0.15409952724217463,0.9834288960365282,7.972726306731634
afr,tso,0.1562549974405825,0.9831412705585739,7.954895866004835
fuv,hau,0.1564813983123891,0.9831110596751153,7.953023036898577
kik,luo,0.15764028163170607,0.9829564185351645,7.943436543728957
ewe,twi,0.16454160271711307,0.9820355077393798,7.886347563031911
ssw,tso,0.165764177162063,0.981872367669374,7.876234205310292
nso,tso,0.16665444714528765,0.9817535702350034,7.868869730413608
ewe,kbp,0.1718586447779353,0.9810591232263811,7.825819662967522
lug,luo,0.19251626107452802,0.9783025753673144,7.654936111338995
afr,nso,0.19292010876699142,0.9782486860184143,7.651595409923382
ewe,yor,0.19828061840389574,0.9775333807696885,7.607252301205448
aka,fon,0.20905473648504985,0.9760956847788478,7.518126840797103
kbp,twi,0.20993811215098926,0.9759778073206873,7.510819396944403
luo,run,0.21796984317195367,0.9749060548671338,7.444379460076477
kin,lug,0.22812292578373777,0.9735512297152571,7.360391317796688
dyu,mos,0.2368675268997756,0.9723843520301109,7.288054390107223
kam,luo,0.2400026095815865,0.9719660072738493,7.262120417105445
afr,zul,0.24175214947058354,0.9717325490487508,7.247647905579662
kbp,yor,0.24614431803436987,0.9711464590237773,7.211315089984926
amh,tir,0.24991691018020923,0.9706430451422607,7.180107522980531
mos,twi,0.25765065275499904,0.9696110562026353,7.116132600628102
nya,sna,0.2582074606062755,0.9695367558831642,7.111526585014555
mos,taq,0.26753487520216285,0.9682921076930842,7.034368518431626
amh,gaz,0.2716281611682443,0.9677459004974257,7.000508113936137
cjk,lua,0.27577107103558796,0.9671930714990956,6.966237211522032
nso,tsn,0.291875787957109,0.965044061549762,6.833016069933907
dik,nus,0.2940612425539527,0.9647524349601534,6.814937592820689
ibo,yor,0.29498346274955034,0.9646293740963411,6.807308819967878
gaz,nus,0.29583319140144876,0.9645159864884705,6.800279710322689
dyu,taq,0.2962899064011442,0.9644550425375065,6.796501680945564
kik,lug,0.31712675608509255,0.9616745778139236,6.624135478203659
afr,sna,0.3251450709244313,0.96060461561275,6.557806522425352
dyu,twi,0.33100930426956277,0.9598220935811419,6.509296519760629
kin,luo,0.33111619508176304,0.9598078300942374,6.508412299560052
fuv,knc,0.3553391108037644,0.9565755294495182,6.308035943936827
afr,tsn,0.36350859481620734,0.9554853952665199,6.240456489319455
lin,sag,0.36591014214995643,0.9551649333087485,6.220590453862941
bam,dyu,0.3660084483506339,0.9551518153505525,6.2197772471271024
bem,nya,0.36773353059829317,0.9549216207478343,6.205507053649844
sot,ssw,0.3700327152345591,0.9546148180463171,6.186487781007056
nso,sot,0.3943156226687523,0.951374512120474,5.985615163051314
ssw,xho,0.39747626889030907,0.9509527561709874,5.95946972380865
kbp,taq,0.4046892767672663,0.9499902539570249,5.899802413396733
tsn,zul,0.4104840107729127,0.9492170059022742,5.851867321883256
fon,ibo,0.4124768735442617,0.9489510787242831,5.835381999308426
bam,wol,0.4171857555284043,0.948322726528869,5.796429272812939
kam,lug,0.42348016784757736,0.9474828015078315,5.744360751591929
acq,amh,0.4247809323798559,0.9473092277694523,5.7336005912754215
knc,sag,0.4286363647117571,0.9467947597113912,5.701707755215366
nso,xho,0.43115415385094547,0.9464587864721963,5.68088014644488
hau,yor,0.43654042006611754,0.9457400442712268,5.636323974636368
bem,sna,0.44857067898400027,0.9441347291183078,5.536807489220884
ewe,ibo,0.4503599057919552,0.9438959750793111,5.5220066802977925
kam,swh,0.4512295115112791,0.9437799350798544,5.51481314394292
hau,ibo,0.4540945414141575,0.9433976261081147,5.491113096546523
acq,tir,0.45545339282864394,0.9432163012687135,5.4798724309968785
gaz,tir,0.46590966770003994,0.9418210182071671,5.393376227312286
