cluster,iso3,language_name,family
1,ace,Acehnese (Arabic script),F Aceh-Chamic
1,asm,Assamese,F Kamta
1,awa,Awadhi,F Indo-Aryan
1,ban,Balinese,F Austronesian
1,bjn,Banjar (Arabic script),F Malayic
1,ben,Bengali,F Indo-Aryan
1,bho,Bhojpuri,F Bihari
1,bug,Buginese,F Bugis
1,mya,Burmese,F Burmish
1,ceb,Cebuano,F Bisayan
1,prs,Dari,F Farsic
1,pan,Eastern Panjabi,F Indo-Aryan
1,guj,Gujarati,F Gujaratic
1,khk,Halh Mongolian,F Mongolic
1,hin,Hindi,F Indo-Aryan
1,ilo,Ilocano,F Austronesian
1,ind,Indonesian,F Malayic
1,jpn,Japanese,F Japonic
1,jav,Javanese,F Javanesic
1,kac,Jingpho,F Jingpho
1,kan,Kannada,F Kannada
1,kas,Kashmiri (Arabic script),F Indo-Aryan
1,kaz,Kazakh,F Oghuz
1,khm,Khmer,F Khmeric
1,kor,Korean,F Koreanic
1,kir,Kyrgyz,F Oghuz
1,lao,Lao,F Daic
1,mag,Magahi,F Bihari
1,mai,Maithili,F Bihari
1,mal,Malayalam,F Dravidian
1,mar,Marathi,F Marathic
1,mni,Meitei (Bengali script),F Naga
1,min,Minangkabau (Arabic script),F Malayic
1,lus,Mizo,F Mizoic
1,uzn,Northern Uzbek,F Oghuz
1,pag,Pangasinan,F Austronesian
1,san,Sanskrit,F Indo-Aryan
1,sat,Santali,F Mundaic
1,shn,Shan,F Daic
1,snd,Sindhi,F Sindhic
1,sin,Sinhala,F Sinhalaic
1,zsm,Standard Malay,F Malayic
1,bod,Standard Tibetan,F Bodic
1,sun,Sundanese,F Austronesian
1,tgl,Tagalog,F Tagalogic
1,tgk,Tajik,F Farsic
1,tam,Tamil,F Tamiloid
1,tel,Telugu,F Teluguic
1,tha,Thai,F Daic
1,tuk,Turkmen,F Oghuz
1,urd,Urdu,F Indo-Aryan
1,uig,Uyghur,F Turkic
1,vie,Vietnamese,F Vietic
1,war,Waray,F Bisayan
1,yue,Yue Chinese,F Sinitic
2,afr,Afrikaans,F Germanic
2,aka,Akan,F Nyo
2,amh,Amharic,F Semitic
2,bam,Bambara,F Mande
2,bem,Bemba,F Sabi
2,knc,Central Kanuri (Arabic script),F Kanuri
2,cjk,Chokwe,F Njila
2,dyu,Dyula,F Mande
2,ewe,Ewe,F Gbe
2,fon,Fon,F Gbe
2,lug,Ganda,F Bantoid
2,hau,Hausa,F Chadic
2,ibo,Igbo,F Igbo
2,kbp,Kabiyè,F Gur
2,kam,Kamba,F Bantoid
2,kik,Kikuyu,F Bantoid
2,kin,Kinyarwanda,F Kivu
2,lin,Lingala,F Ngiri
2,lua,Luba-Kasai,F Luban
2,luo,Luo,F Nilotic
2,mos,Mossi,F Gur
2,fuv,Nigerian Fulfulde,F Fula
2,nso,Northern Sotho,F Sotho
2,nus,Nuer,F Nilotic
2,nya,Nyanja,F Bantoid
2,plt,Plateau Malagasy,F Malagasic
2,run,Rundi,F Kivu
2,sag,Sango,F Ubangi
2,sna,Shona,F Bantoid
2,som,Somali,F Cushitic
2,sot,Southern Sotho,F Sotho
2,dik,Southwestern Dinka,F Dinka
2,swh,Swahili,F Bantoid
2,ssw,Swati,F Bantoid
2,taq,Tamasheq (Latin script),F Berber
2,acq,Ta’izzi-Adeni Arabic,F Arabic
2,tir,Tigrinya,F Semitic
2,tso,Tsonga,F Bantoid
2,tsn,Tswana,F Bantoid
2,twi,Twi,Unknown
2,umb,Umbundu,F Njila
